word,polysemy_density
contact,9
binding,5
dna,1
arts,5
he,2
imagination,3
influence,5
trembling,1
weight,8
sentiments,2
shelter,5
add,1
armour,3
instrument,6
office,7
possession,7
superiority,4
bourgeoisie,1
item,5
priest,2
film,5
ceremony,3
fear,3
component,3
exceptions,3
floating,1
regard,7
fellow,7
flowing,1
conclusions,9
harmony,5
procedure,4
past,3
dutch,2
means,4
visit,5
aldermen,1
properties,5
multitudes,3
enmity,2
organisation,7
imprisonment,3
comforts,8
whole,2
today,2
follies,5
treason,3
antiquity,3
researches,2
salvation,4
regime,2
alcohol,2
stations,6
strata,3
monuments,3
chief,3
pillars,5
machine,6
channel,8
counsel,2
bath,6
soils,4
arrow,2
pamphlet,2
cost,3
voting,1
copper,5
nazi,2
combinations,7
feeding,2
annum,1
bad,1
beginning,5
reformation,3
critique,2
feast,4
overall,2
arrangement,6
ussr,1
ally,2
excess,4
labors,7
upper,3
cover,10
disadvantage,1
vii,1
quote,2
increases,5
apology,3
praises,2
trust,6
hypothesis,3
mary,1
knight,2
transition,5
behaviour,4
felicity,2
delivery,7
teach,1
in,3
tubes,5
circulation,6
looking,2
ether,4
technologies,2
hatred,1
secretary,4
option,3
twenty,2
yoke,7
proprietors,1
aggression,5
problems,3
fancy,3
ireland,2
problem,3
short,3
kind,1
generosity,2
dreams,6
freedom,2
brothers,5
span,6
inputs,4
challenges,5
iii,1
latitude,4
weights,8
calamities,1
unemployment,1
th,2
general,3
sounds,8
investments,6
tons,3
warning,3
estate,3
coin,1
benefits,3
deficit,4
passengers,1
avarice,2
powder,3
port,5
extract,2
roots,9
writ,1
propositions,5
canterbury,1
father,8
fast,1
censure,2
beings,2
natives,3
shadow,9
exclusive,1
training,2
goths,2
members,5
philosophy,3
prize,3
act,5
blue,7
isaac,1
emotions,1
mechanism,5
prevention,1
following,2
happening,1
century,2
states,8
rites,2
billion,3
rage,5
suit,6
strikes,6
usage,3
greatness,2
engines,4
provinces,2
domain,5
covenant,2
passion,7
undertaking,2
socrates,1
studying,1
experts,1
john,5
dollar,4
win,2
memorial,3
lung,1
amplitude,3
distinction,4
flying,1
measure,9
abilities,2
intestine,1
answers,5
fidelity,2
mexican,1
range,9
temporal,1
site,3
gather,2
eyes,6
advertising,2
hierarchy,2
evening,3
neglect,5
luxury,3
employment,4
luck,3
roof,4
married,1
chicago,2
texts,4
aids,5
praise,2
combustion,3
spoke,2
real,3
classical,1
schemes,5
victim,2
divines,2
kids,5
turning,6
compositions,9
interface,4
branch,6
scots,2
edges,6
triumph,2
federal,2
tender,6
slaves,3
fraud,3
falsehood,2
car,5
greece,2
satire,1
millions,2
self,2
communicating,1
royal,2
concentration,7
product,6
attendance,3
supplies,3
fifteen,1
firm,1
carries,1
stores,4
richmond,1
atmosphere,6
conviction,2
patients,2
french,3
precaution,3
rights,8
cities,3
italian,2
amount,4
appetite,1
watching,1
trustee,2
sacrifice,5
modes,6
junction,5
commands,7
leaders,3
thirty,1
chosen,3
it,1
schedule,2
seal,9
massachusetts,4
monopoly,3
dear,2
famine,2
led,1
differential,3
elderly,1
iron,4
arabs,2
sharp,2
high,7
georgia,3
respondents,2
stake,5
solomon,1
shook,1
valour,1
fact,4
talent,2
staff,6
protocol,3
desire,3
departure,3
treaties,1
marriage,4
shock,10
poet,1
buildings,4
escape,8
possible,2
cells,7
desires,3
apprehension,4
gospel,5
maid,2
lime,6
inability,2
shoulder,5
smith,10
fears,3
provisions,5
tribute,3
garden,3
ties,9
possessions,7
arm,6
conversation,1
guinea,4
repair,3
flesh,3
pursuits,4
plot,4
colonies,6
nucleus,6
code,3
representatives,4
chancel,1
electric,1
remove,1
wall,8
directions,9
implement,1
loans,2
tongues,8
unconscious,1
co,4
canada,1
achievements,1
veil,4
eloquence,1
skill,2
township,1
elder,3
populace,1
attempts,2
equipment,1
communities,6
extra,3
shake,6
regulation,6
speed,5
irrigation,2
night,8
approbation,2
liquid,4
fault,7
drawing,6
immune,1
purposes,3
countrymen,2
stomach,4
comedy,2
flanders,1
expenditures,3
award,3
till,3
rectory,1
moment,6
y,2
engagement,7
cabinet,4
descendants,2
hate,1
supporting,1
clerk,2
occasions,6
summit,3
satan,1
batteries,7
offences,5
exertion,1
madam,2
aging,2
copyright,1
sensibility,3
admiral,2
leagues,3
amounts,4
bench,7
stern,3
lesson,4
markets,5
curriculum,1
favourite,3
instruction,4
re,3
safety,6
harbour,2
june,1
eye,5
season,3
repeal,1
consul,1
red,4
flames,1
limited,1
default,4
ladies,3
full,1
accession,6
tears,5
saxony,1
barons,3
clergy,1
scenes,10
companion,3
surgeon,1
aristotle,1
ferdinand,1
making,3
third,6
thought,4
absorption,6
castle,4
predecessors,2
sinking,3
output,5
confidence,5
colours,10
amsterdam,1
companions,3
count,3
rough,1
medical,1
curse,5
equation,3
mathematics,1
neighbours,2
theme,5
tank,5
cycle,6
cents,2
satisfaction,5
tooth,5
colony,6
marquis,2
edition,4
maximum,3
saviour,2
expose,1
sending,1
activities,6
purity,3
n,5
emergency,3
dining,1
detachment,5
reply,2
being,2
wage,1
realm,3
pull,7
coil,6
athens,3
note,9
rope,2
telephone,2
henry,4
ears,5
approaching,3
carbon,3
business,9
rulers,2
december,1
breach,3
find,2
formulation,3
souls,5
palestine,2
capitalist,2
legislature,1
requirements,3
revolt,1
relative,2
charm,4
supernatural,1
introduction,7
limb,6
vices,2
schools,7
couple,5
paralysis,1
roles,4
rebellion,2
running,5
start,8
descriptions,3
atonement,2
string,10
evils,3
stability,3
poverty,1
wages,2
frontiers,3
limits,6
uses,8
x,3
serving,2
preliminary,2
franklin,3
silver,5
career,2
offense,5
delhi,1
listening,1
warriors,1
gallery,7
latin,3
conflict,7
stresses,5
horrors,3
temporary,1
fishing,2
dc,2
parties,5
rhine,2
militia,2
lungs,1
prosecution,3
meetings,6
negroes,1
lie,3
farms,1
paradise,2
delay,2
lewis,6
challenge,5
grecian,1
diminution,3
solvent,2
savings,4
thumb,3
property,5
device,5
units,6
converse,1
troubles,6
surprise,3
reports,7
inclination,8
strategy,2
philip,1
speech,8
decade,2
candidate,2
managers,2
china,4
pitt,3
burden,4
tax,1
forests,2
colleagues,2
bye,2
be,1
expedition,5
asian,1
clay,5
britain,1
heaven,2
sulphur,1
refuge,4
expectation,4
major,4
air,9
verdict,1
metropolitan,2
damage,5
directors,5
parameter,4
communication,3
possesses,1
less,1
dimensions,4
effort,4
divinity,4
rank,5
instruments,6
suite,4
expiration,3
shell,10
identification,5
solutions,5
attribute,2
races,6
image,9
efforts,4
out,1
sixty,1
defendant,1
bacon,3
reach,4
encounter,4
record,8
monitoring,1
exhibit,2
bibliography,1
investment,6
pole,10
sincerity,4
ceiling,4
policies,3
colour,8
volume,6
well,5
vigilance,2
notion,4
anti,1
impress,1
beds,8
baby,7
classes,8
indiana,2
netherlands,1
department,3
garrison,3
honour,4
sale,5
hanover,2
proceeds,1
violence,3
florida,1
transport,6
specimens,2
woods,9
fun,4
speaking,2
reception,5
eleven,2
privy,2
junior,4
positive,2
public,2
discipline,5
opinions,6
coal,2
fill,2
infections,7
constraints,3
economies,4
touching,2
characters,9
williams,6
front,10
references,10
variety,6
dozen,1
commonwealth,4
better,4
departments,3
seeking,2
judgments,7
ideas,5
native,3
youth,6
breadth,2
journals,5
struggle,3
chart,2
attacks,9
civility,2
liberties,5
carbonate,1
handle,1
contracts,3
exposition,4
dictates,2
suffrage,1
northwest,4
newspapers,4
harbor,2
peasants,3
status,2
prose,2
subjection,2
bristol,1
battery,7
divorce,1
jew,1
consensus,1
vision,5
nurse,2
trend,4
parallel,3
recording,3
interview,2
homage,1
acute,1
version,6
render,1
like,2
mothers,5
handling,3
senses,6
glass,7
specimen,2
sovereign,1
conference,3
traces,6
tobacco,2
restrictions,3
deed,2
allocation,3
anterior,1
calling,1
prosperity,2
scope,4
choice,3
setting,7
believing,1
credit,9
women,4
detection,4
tools,4
sulphate,1
pipe,5
mill,5
epistles,2
tissues,2
cuba,2
importance,2
brethren,6
produce,1
preparations,8
emphasis,4
deaths,8
hampshire,2
appeal,4
thinks,1
glasgow,1
laughter,2
best,3
obedience,3
shells,10
feature,6
equality,2
belt,7
instance,2
walls,8
format,2
defect,4
peripheral,1
conversion,9
monarchy,1
monitor,7
astonishment,1
gothic,3
debtor,1
none,2
prayer,5
months,2
enlightened,1
league,3
belly,5
degrees,7
kitchen,1
unity,3
kings,10
gross,2
settlements,7
trenches,3
fool,3
lower,1
park,6
aside,2
excellence,2
humanity,3
restoration,7
ownership,3
jean,2
aspect,5
aggregate,3
legend,2
moral,1
revolutions,3
knee,3
caution,4
willing,1
husband,1
stories,6
similarity,2
computers,2
inevitable,1
mr,1
mercies,5
indulgence,5
vessel,3
horizon,4
second,10
vengeance,1
bow,9
review,10
ideology,2
fountain,4
knees,3
settlement,7
inventory,5
countries,5
breed,2
lancaster,2
potential,2
zone,4
witnesses,5
diligence,3
populations,5
partnership,3
delicacy,7
opportunity,1
looks,4
institution,5
factions,2
approximation,4
prudence,2
publisher,3
imperial,2
seconds,10
wave,9
burgesses,2
teacher,2
federation,3
session,4
sweden,1
communion,3
sleep,4
savages,2
activation,3
ghost,4
materials,5
truth,5
scottish,1
qualities,5
longitude,1
parliament,2
testing,3
beauties,3
fay,1
memories,5
cargo,1
corporation,2
objectives,2
districts,1
waste,5
sand,3
nephew,1
hesitation,3
pictures,10
nice,1
murray,3
residence,4
lays,2
dividends,3
need,4
reading,8
six,2
fertility,3
standard,6
joints,6
conceptions,4
syria,1
scorn,2
context,2
flow,7
software,1
filter,2
commodity,1
cutting,10
loan,2
glimpse,3
manufacturing,1
negro,1
core,10
risks,4
countryside,1
europeans,1
assumptions,7
areas,6
germany,1
posterity,2
technical,2
state,8
knights,2
doors,5
nations,4
il,1
translation,7
examples,6
belgium,1
tenements,1
butter,2
wedding,3
comes,1
peril,3
appreciation,5
remission,4
forts,2
kingdom,6
creed,2
above,1
writer,2
barrier,3
ordinary,5
hint,5
fourteen,1
secrets,3
subjects,8
researchers,1
pope,2
honor,4
voters,1
degree,7
forbear,1
eager,1
eds,2
meanwhile,1
meaning,2
hypertension,1
programming,2
nature,5
workmen,1
knowing,1
erection,3
assistant,1
mirror,2
prejudices,1
pupil,3
topics,2
jehovah,2
awe,2
design,7
flock,5
orleans,2
resurrection,2
serum,1
bind,1
conqueror,1
thinking,1
scenery,2
literal,1
faults,7
circumference,3
glory,3
mexico,1
generations,7
menu,4
antibodies,1
distance,6
owners,2
convent,2
throne,3
dean,4
serve,1
rich,1
deviation,5
charles,9
conquest,3
bureau,2
propriety,1
coming,4
newcastle,1
distress,4
charter,2
epistle,2
monks,2
priority,2
smile,1
telegraph,1
vegetable,2
paragraph,1
appearances,6
imports,5
glucose,1
get,1
responsibilities,3
magic,2
blow,7
arizona,2
societies,4
faculty,2
purple,2
regions,5
goes,4
watch,6
protein,1
print,7
bride,3
transaction,1
proof,6
severity,4
embrace,3
learning,2
instant,2
boat,2
graces,7
machines,6
algorithm,1
lies,3
dry,1
mouth,8
receiver,6
welcome,2
salt,4
notice,7
growth,7
authority,7
drug,1
proposition,5
fathers,8
rebel,3
hormone,1
neighborhood,4
cambridge,3
overthrow,2
mode,6
mentions,3
classification,4
magazine,6
moments,6
assessment,4
avail,1
capitalism,1
grants,8
philippines,3
smooth,1
settlers,3
douglas,1
infirmities,1
empress,1
features,6
pakistan,1
stairs,2
posture,4
appearance,6
sessions,5
gdp,1
lateral,1
likeness,2
mortality,2
raising,3
hydrogen,1
rent,4
privilege,3
princes,1
era,3
perceptions,5
coat,3
conflicts,7
constantinople,5
players,5
monastery,1
measurements,1
empire,5
government,4
accounts,10
least,1
gentry,1
heirs,2
rooms,5
presbyterian,1
devil,5
displeasure,1
keen,1
article,4
courage,1
answer,5
manhood,3
don,6
dish,6
chain,10
focuses,7
inhabitants,1
discretion,5
water,6
inside,2
limitation,5
cope,2
using,1
causes,5
thirst,2
edge,6
circumstance,4
chest,4
pen,5
perspectives,2
perusal,1
physician,1
go,4
highway,1
minutes,7
rise,10
jail,1
revolutionary,1
oath,3
modesty,2
france,2
judah,2
tests,6
magistrate,1
coefficients,1
superior,6
view,10
naples,1
adjustment,5
turkish,1
people,4
vienna,1
indifference,4
tumor,1
gender,2
term,7
poland,1
sketch,4
situation,5
eating,1
hebrew,2
effects,7
authorities,8
madness,5
tennessee,2
interviews,2
feels,4
outset,1
fiction,2
hundreds,1
great,1
catch,10
letter,5
large,1
funeral,1
proposal,3
behavior,4
ancients,3
gloucester,2
target,5
norfolk,1
revision,3
communist,2
toil,1
singular,1
propaganda,1
onset,2
gate,4
julian,1
sports,7
tents,2
laugh,3
bulletin,1
syndrome,2
linen,3
remedy,2
cook,2
religious,1
fit,4
suspicion,4
flows,7
anatomy,3
baptism,1
financing,1
preacher,1
allegiance,2
indication,5
verb,2
bold,1
police,1
compass,4
true,1
adversaries,1
hair,6
simon,4
cortex,3
russians,2
arrest,2
broad,1
assess,4
adoption,3
have,1
delegation,2
perspective,2
lessons,4
painting,4
creator,2
archives,2
ammunition,3
premises,2
consideration,6
chapter,5
wars,4
vigour,3
louis,1
clause,2
necessities,2
romance,5
homer,5
close,3
diversity,2
oxford,4
anxiety,2
chase,3
momentum,2
employers,1
sons,2
server,4
obstacles,2
cold,3
contest,2
ny,1
k,7
lord,3
peers,2
sacraments,1
heart,10
scotland,1
moses,2
rod,6
outside,2
difficulty,4
taxation,3
yes,1
latest,1
nursing,3
serves,2
double,5
dark,5
synod,1
assembly,6
spirit,8
sentences,3
forest,2
values,7
ingenuity,2
patronage,5
scholars,3
supposition,3
dominion,3
letters,7
chapters,5
van,5
consumers,1
navigation,3
circumstances,6
friend,5
merchandise,1
rebels,3
eighty,1
versailles,2
taxpayer,1
statesmen,1
countess,1
begins,1
selling,1
colors,10
supervision,1
assets,2
bishop,3
aspects,5
kentucky,1
hardships,3
guardian,1
soul,5
territory,3
tea,5
q,1
deck,4
laser,1
specific,2
condition,8
uncertainty,2
interruption,3
mean,1
throat,4
thickness,4
chair,5
inn,1
shop,3
journey,1
acre,3
charity,5
gates,5
rifle,1
compound,3
class,8
silk,2
school,7
meanings,2
consciousness,2
reaching,2
ph,1
cause,5
korean,2
oregon,1
impression,9
price,7
defining,1
ideal,2
disturbance,7
access,6
revival,2
sins,6
philosopher,2
anne,1
sin,6
prejudice,1
publications,4
wealth,4
magnitude,3
judging,1
agenda,2
dependent,1
criteria,2
films,5
october,1
reputation,3
nation,4
rewards,5
worthy,1
protector,1
products,6
minnesota,1
personnel,2
lincoln,3
designs,7
sinners,1
speeches,8
cathedral,2
columns,9
cd,4
spanish,2
mechanisms,5
election,4
intention,3
speculation,4
forum,2
adventures,1
associations,8
perseverance,2
northumberland,1
player,5
brother,5
foe,2
stanford,2
community,6
producers,3
matters,6
flattery,1
outcomes,2
puts,1
poetry,2
adams,7
produces,1
thou,1
christian,1
thus,1
lens,5
teaching,3
indictment,2
decline,4
stimulus,1
wait,2
opponents,2
failure,7
entertainment,1
fury,4
yea,1
quebec,2
slaughter,3
strike,6
spain,1
german,2
purchase,4
layers,5
essence,4
